OBJECTID,NAME,FULLNAME,TYPE,TRACT,COUNTYFIPS,STATEFIPS,STATEABBR,DSITE,DSITENAME,CONTNMPRE,CONTFSTNM,CONTMIDNM,CONTLSTNM,CONTNMSUF,CONTTITLE,CONTORG,CONTDEPT,CONTADDR1,CONTADDR2,CONTCITY,CONTSTATE,CONTZIP,CONTPHONE,CONTFAX,CONTEMAIL,FIPS,TRACTYEAR,PERIODA,PERIODB,PERIODC,URBANRURAL,LINK,PERIODD,Shape__Area,Shape__Length
219,"Philadelphia, PA","Philadelphia, PA Renewal Community",Renewal Community,020000,101,42,PA,No,,Mr.,Andrew, ,Frishkoff, ,Director of Economic Development for the EZ/RC, , ,"1515 Arch Street, 12th Floor", ,Philadelphia,PA,19102,215-683-2025,215-557-8538,andrew.frishkoff@phila.org,42101020000,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia_RC&info1=Urban+Renewal+Community&ID=12902500001,None,532061.8984375,3941.77702717867
220,"Philadelphia, PA","Philadelphia, PA Renewal Community",Renewal Community,020500,101,42,PA,No,,Mr.,Andrew, ,Frishkoff, ,Director of Economic Development for the EZ/RC, , ,"1515 Arch Street, 12th Floor", ,Philadelphia,PA,19102,215-683-2025,215-557-8538,andrew.frishkoff@phila.org,42101020500,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia_RC&info1=Urban+Renewal+Community&ID=12902500001,None,2467348.8046875,6929.50166768142
221,"Philadelphia, PA","Philadelphia, PA Renewal Community",Renewal Community,028300,101,42,PA,No,,Mr.,Andrew, ,Frishkoff, ,Director of Economic Development for the EZ/RC, , ,"1515 Arch Street, 12th Floor", ,Philadelphia,PA,19102,215-683-2025,215-557-8538,andrew.frishkoff@phila.org,42101028300,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia_RC&info1=Urban+Renewal+Community&ID=12902500001,None,1150432.79296875,4564.39673989448
222,"Mobile County, AL","Mobile County, AL Renewal Community",Renewal Community,001501,097,01,AL,No,,Ms.,Diane, ,Burnett, , ,Director of Planning, ,P.O. Box 1665,651 Church Street,Mobile,AL,36633,251-433-6541,251-433-6009,dburnett@sarpc.org,01097001501,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Mobile_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1654404.61328125,5733.46498761305
223,"Mobile County, AL","Mobile County, AL Renewal Community",Renewal Community,004300,097,01,AL,No,,Ms.,Diane, ,Burnett, , ,Director of Planning, ,P.O. Box 1665,651 Church Street,Mobile,AL,36633,251-433-6541,251-433-6009,dburnett@sarpc.org,01097004300,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Mobile_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1716796.828125,5696.57313327288
224,"Memphis, TN","Memphis, TN Renewal Community",Renewal Community,007822,157,47,TN,No,,Ms.,Dottie, ,Jones, , ,City of Memphis,Office of Intergovernmental Relations,"125 North Main Street, Room 336", ,Memphis,TN,38103,901-576-6565,901-576-6570,dottie.jones@cityofmemphis.org,47157007822,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TN&community=Memphis_RC&info1=Urban+Renewal+Community&ID=12902500001,None,3419673.87109375,9360.65937861385
225,"Memphis, TN","Memphis, TN Renewal Community",Renewal Community,008120,157,47,TN,No,,Ms.,Dottie, ,Jones, , ,City of Memphis,Office of Intergovernmental Relations,"125 North Main Street, Room 336", ,Memphis,TN,38103,901-576-6565,901-576-6570,dottie.jones@cityofmemphis.org,47157008120,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TN&community=Memphis_RC&info1=Urban+Renewal+Community&ID=12902500001,None,4778023.44140625,9302.81765388933
226,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,009200,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079009200,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,767140.83984375,3592.72860890518
227,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,982800,091,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01091982800,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,326417403.871094,95143.1886864431
228,"Los Angeles, CA","Los Angeles, CA Empowerment Zone",Empowerment Zone,228800,037,06,CA,No,, , , , , , ,EZ Program Coordinator,Community Development Department,215 W. Sixth St.,Third Floor,Los Angeles,CA,90014,213-485-8161,213-847-0890,mshin@cdd.lacity.org,06037228800,1990,None,"Empowerment Zone (Round I) Beginning Jan. 1, 2000",Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Los_Angeles&info1=Round+I+EZ&ID=06211800001,Empowerment Zone (Round I),1201158.91796875,4454.91406848854
229,"Los Angeles, CA","Los Angeles, CA Empowerment Zone",Empowerment Zone,228900,037,06,CA,No,, , , , , , ,EZ Program Coordinator,Community Development Department,215 W. Sixth St.,Third Floor,Los Angeles,CA,90014,213-485-8161,213-847-0890,mshin@cdd.lacity.org,06037228900,1990,None,"Empowerment Zone (Round I) Beginning Jan. 1, 2000",Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Los_Angeles&info1=Round+I+EZ&ID=06211800001,Empowerment Zone (Round I),790740.9375,3670.37148109858
230,"Memphis, TN","Memphis, TN Renewal Community",Renewal Community,007821,157,47,TN,No,,Ms.,Dottie, ,Jones, , ,City of Memphis,Office of Intergovernmental Relations,"125 North Main Street, Room 336", ,Memphis,TN,38103,901-576-6565,901-576-6570,dottie.jones@cityofmemphis.org,47157007821,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TN&community=Memphis_RC&info1=Urban+Renewal+Community&ID=12902500001,None,5101224.29296875,12569.4492339602
231,"Corpus Christi, TX","Corpus Christi, TX Renewal Community",Renewal Community,005000,355,48,TX,No,,Ms.,Patricia, ,Garcia, ,Economic Development Senior Management Analyst,City of Corpus Christi,Economic Development,PO Box 9277, ,Corpus Christi,TX,78469,361-844-1785,361-880-3230,Patriciaga@cctexas.com,48355005000,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TX&community=Corpus_Christi_RC&info1=Urban+Renewal+Community&ID=06334200001,None,393.94921875,129.569965084089
232,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,997200,047,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01047997200,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,50360039.6835938,37134.9077295345
233,"Mobile County, AL","Mobile County, AL Renewal Community",Renewal Community,000600,097,01,AL,No,,Ms.,Diane, ,Burnett, , ,Director of Planning, ,P.O. Box 1665,651 Church Street,Mobile,AL,36633,251-433-6541,251-433-6009,dburnett@sarpc.org,01097000600,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Mobile_RC&info1=Urban+Renewal+Community&ID=06334200001,None,2782206.8046875,7929.74987888759
234,"Mobile County, AL","Mobile County, AL Renewal Community",Renewal Community,000500,097,01,AL,No,,Ms.,Diane, ,Burnett, , ,Director of Planning, ,P.O. Box 1665,651 Church Street,Mobile,AL,36633,251-433-6541,251-433-6009,dburnett@sarpc.org,01097000500,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Mobile_RC&info1=Urban+Renewal+Community&ID=06334200001,None,3350977.265625,8927.82551929865
235,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,017800,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079017800,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1129500.6953125,5092.01381656194
236,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,017900,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079017900,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1152297.3984375,5100.78691864846
237,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,997400,047,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01047997400,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,715483419.304688,147043.15323492
238,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,996800,047,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01047996800,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,13172349.671875,15814.4259608929
239,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,974900,065,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01065974900,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,420783094.878906,111312.841497725
240,"Charleston, SC","Charleston, SC Renewal Community",Renewal Community,004000,019,45,SC,No,,Ms.,Patricia, ,Crawford, ,Director,City of Charleston,Dept. of Housing and Community Development,"75 Calhoun Street, Division 616", ,Charleston,SC,29401-3506,843-724-3766,843-965-4180,crawfordp@ci.charleston.sc.us,45019004000,2000,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=SC&community=Charleston_RC&info1=Urban+Renewal+Community&ID=06334200001,None,2809447.42382813,7326.36975463408
241,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,004800,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079004800,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1862883.265625,5550.35087546937
242,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,006800,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079006800,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1084580.40234375,6325.80690419297
243,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,009100,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079009100,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,957767.609375,4112.40071428634
244,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,012300,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079012300,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1415898.49609375,4916.65937807526
245,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,018800,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079018800,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1712660.578125,5229.57466894156
246,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,960600,035,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01035960600,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,633636116.652344,170131.164601751
247,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,997100,047,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01047997100,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,292575727.792969,117451.675864824
248,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,997300,047,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01047997300,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,249559893.148438,130250.461271528
249,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,952900,013,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01013952900,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,79985605.9960938,41158.4572800733
250,"Charleston, SC","Charleston, SC Renewal Community",Renewal Community,003300,019,45,SC,No,,Ms.,Patricia, ,Crawford, ,Director,City of Charleston,Dept. of Housing and Community Development,"75 Calhoun Street, Division 616", ,Charleston,SC,29401-3506,843-724-3766,843-965-4180,crawfordp@ci.charleston.sc.us,45019003300,2000,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=SC&community=Charleston_RC&info1=Urban+Renewal+Community&ID=06334200001,None,6843013.30859375,15978.2928930851
251,"Greene-Sumter, AL","Greene-Sumter, AL Renewal Community",Renewal Community,974600,063,01,AL,No,,Ms.,Herlecia, ,Hampton, , ,Executive Director, ,104 Hospital Drive,PO Box 1786,Livingston,AL,35470,205-652-7408,205-652-7410,greenesu@bellsouth.net,01063974600,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=GreeneSumter_RC&info1=Rural+Renewal+Community&ID=06334200001,None,567112855.671875,183027.672643103
252,"Memphis, TN","Memphis, TN Renewal Community",Renewal Community,022112,157,47,TN,No,,Ms.,Dottie, ,Jones, , ,City of Memphis,Office of Intergovernmental Relations,"125 North Main Street, Room 336", ,Memphis,TN,38103,901-576-6565,901-576-6570,dottie.jones@cityofmemphis.org,47157022112,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TN&community=Memphis_RC&info1=Urban+Renewal+Community&ID=12902500001,None,4882219.4765625,9026.43346037219
253,"El Paso County, TX","El Paso County, TX Renewal Community",Renewal Community,010309,141,48,TX,No,,Mr.,Rodrigo, ,Mercado, ,"Director, Planning and Development",County of El Paso, ,"500 E. San Antonio, Suite 404", ,El Paso,TX,79901,915-543-3845,915-543-3846,rmercado@co.el-paso.tx.us,48141010309,2000,None,None,Renewal Community,,http://www.hud.gov/offices/cpd/economicdevelopment/programs/rc/tour/tx/elpasocounty/,None,269400932.25,71323.8933661171
254,"Corpus Christi, TX","Corpus Christi, TX Renewal Community",Renewal Community,000500,355,48,TX,No,,Ms.,Patricia, ,Garcia, ,Economic Development Senior Management Analyst,City of Corpus Christi,Economic Development,PO Box 9277, ,Corpus Christi,TX,78469,361-844-1785,361-880-3230,Patriciaga@cctexas.com,48355000500,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TX&community=Corpus_Christi_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1439734.45507813,5256.71869913672
255,"Mobile County, AL","Mobile County, AL Renewal Community",Renewal Community,000401,097,01,AL,No,,Ms.,Diane, ,Burnett, , ,Director of Planning, ,P.O. Box 1665,651 Church Street,Mobile,AL,36633,251-433-6541,251-433-6009,dburnett@sarpc.org,01097000401,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Mobile_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1322516.05078125,4735.69179993929
256,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,981000,085,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01085981000,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,412968722.03125,139187.040596852
257,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,981100,085,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01085981100,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,573379008.550781,163861.68707939
258,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,996500,047,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01047996500,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,10308548.3359375,18300.6796460691
259,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,017300,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079017300,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,939851.78125,4136.22829003296
260,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,017400,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079017400,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,605026.23828125,3412.13933129615
261,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,017500,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079017500,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,910730.8359375,3879.54444588071
262,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,017600,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079017600,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,882028.78125,3820.48511585137
263,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,017700,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079017700,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,757075.46484375,4359.37882929078
264,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,015400,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079015400,2000,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,6654179.671875,14472.7313511595
265,Southern Alabama,Southern Alabama Renewal Community,Renewal Community,952700,013,01,AL,No,,Mr.,David,S.,Barley,II,II,Manager,Technical Assistance Section,401 Adams Ave.,PO Box 5690,Montgomery,AL,36103-5690,334-242-5823,334-242-4203,davidb@adeca.state.al.us,01013952700,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=AL&community=Southern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,186543429.996094,63709.554921669
266,"Los Angeles, CA","Los Angeles, CA Empowerment Zone",Empowerment Zone,227000,037,06,CA,No,, , , , , , ,EZ Program Coordinator,Community Development Department,215 W. Sixth St.,Third Floor,Los Angeles,CA,90014,213-485-8161,213-847-0890,mshin@cdd.lacity.org,06037227000,1990,None,"Empowerment Zone (Round I) Beginning Jan. 1, 2000",Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Los_Angeles&info1=Round+I+EZ&ID=06211800001,Empowerment Zone (Round I),1490936.17578125,5628.55094403988
267,"Los Angeles, CA","Los Angeles, CA Renewal Community",Renewal Community,221900,037,06,CA,No,,Mr.,Clifford, ,Weiss, , ,Deputy Director,Community Development Department,215 W. 6th Street,3rd Floor,Los Angeles,CA,90014,213-485-6301,213-847-0890,cweiss@cdd.lacity.org,06037221900,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Los_Angeles_RC&info1=Urban+Renewal+Community&ID=09072600001,None,578220.3359375,3849.37128200368
268,"Los Angeles, CA","Los Angeles, CA Renewal Community",Renewal Community,221302,037,06,CA,No,,Mr.,Clifford, ,Weiss, , ,Deputy Director,Community Development Department,215 W. 6th Street,3rd Floor,Los Angeles,CA,90014,213-485-6301,213-847-0890,cweiss@cdd.lacity.org,06037221302,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Los_Angeles_RC&info1=Urban+Renewal+Community&ID=09072600001,None,688843.78515625,3779.22651384595
269,"Los Angeles, CA","Los Angeles, CA Empowerment Zone",Empowerment Zone,240800,037,06,CA,No,, , , , , , ,EZ Program Coordinator,Community Development Department,215 W. Sixth St.,Third Floor,Los Angeles,CA,90014,213-485-8161,213-847-0890,mshin@cdd.lacity.org,06037240800,1990,None,"Empowerment Zone (Round I) Beginning Jan. 1, 2000",Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Los_Angeles&info1=Round+I+EZ&ID=06211800001,Empowerment Zone (Round I),949045.75,4947.12225883489
270,"Los Angeles, CA","Los Angeles, CA Empowerment Zone",Empowerment Zone,242000,037,06,CA,No,, , , , , , ,EZ Program Coordinator,Community Development Department,215 W. Sixth St.,Third Floor,Los Angeles,CA,90014,213-485-8161,213-847-0890,mshin@cdd.lacity.org,06037242000,1990,None,"Empowerment Zone (Round I) Beginning Jan. 1, 2000",Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Los_Angeles&info1=Round+I+EZ&ID=06211800001,Empowerment Zone (Round I),954697.68359375,3922.6170426806
271,"Los Angeles, CA","Los Angeles, CA Empowerment Zone",Empowerment Zone,242100,037,06,CA,No,, , , , , , ,EZ Program Coordinator,Community Development Department,215 W. Sixth St.,Third Floor,Los Angeles,CA,90014,213-485-8161,213-847-0890,mshin@cdd.lacity.org,06037242100,1990,None,"Empowerment Zone (Round I) Beginning Jan. 1, 2000",Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Los_Angeles&info1=Round+I+EZ&ID=06211800001,Empowerment Zone (Round I),387339.58984375,3792.34081226281
272,"Los Angeles, CA","Los Angeles, CA Empowerment Zone",Empowerment Zone,243100,037,06,CA,No,, , , , , , ,EZ Program Coordinator,Community Development Department,215 W. Sixth St.,Third Floor,Los Angeles,CA,90014,213-485-8161,213-847-0890,mshin@cdd.lacity.org,06037243100,1990,None,"Empowerment Zone (Round I) Beginning Jan. 1, 2000",Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=Los_Angeles&info1=Round+I+EZ&ID=06211800001,Empowerment Zone (Round I),874575.44140625,3936.97747543552
